gene	gene_id	chromosome	lof.oe_ci.upper	mis.z_score
PDZD4	ENSG00000067840	chrX	4.0816e-01	1.7459e+00
PDZD7	79955	NA	1.0347e+00	-8.7440e-01
PDZD7	ENSG00000186862	chr10	1.0347e+00	-8.7440e-01
PDZD8	118987	NA	2.5518e-01	2.5687e+00
PDZD8	ENSG00000165650	chr10	2.5518e-01	2.5687e+00
PDZD9	255762	NA	1.2702e+00	5.5493e-01
PDZD9	ENSG00000155714	chr16	1.2702e+00	5.5493e-01
PDZK1	5174	NA	8.5438e-01	3.9371e+00
PDZK1	ENSG00000174827	chr1	8.5438e-01	3.9371e+00
PDZK1IP1	10158	NA	1.0687e+00	-1.1397e-01
PDZK1IP1	ENSG00000162366	chr1	1.0687e+00	-1.1397e-01
PDZRN3	23024	NA	5.8148e-01	-1.3466e+00
PDZRN3	ENSG00000121440	chr3	5.8148e-01	-1.3466e+00
PDZRN4	29951	NA	8.6279e-01	-1.6694e+00
PDZRN4	ENSG00000165966	chr12	8.6279e-01	-1.6694e+00
PEA15	8682	NA	NA	2.8316e+00
PEA15	ENSG00000162734	chr1	NA	2.8316e+00
PEAK1	79834	NA	5.4309e-01	8.1713e-01
PEAK1	ENSG00000173517	chr15	5.4309e-01	8.1713e-01
PEAK3	374872	NA	1.7333e+00	-7.9154e-01
PEAK3	ENSG00000188305	chr19	1.7333e+00	-7.9154e-01
PEAR1	375033	NA	1.0068e+00	-1.9310e-01
PEAR1	ENSG00000187800	chr1	1.0068e+00	-1.9310e-01
PEBP1	5037	NA	1.1228e+00	1.0512e+00
PEBP1	ENSG00000089220	chr12	1.1228e+00	1.0512e+00
PEBP4	157310	NA	1.3139e+00	-1.0746e+00
PEBP4	ENSG00000134020	chr8	1.3139e+00	-1.0746e+00
PECAM1	5175	NA	1.0453e+00	-5.8414e+00
PECAM1	ENSG00000261371	chr17	1.0453e+00	-5.8414e+00
PECR	55825	NA	1.1537e+00	-4.7018e-01
PECR	ENSG00000115425	chr2	1.1537e+00	-4.7018e-01
PEDS1	387521	NA	6.2091e-01	2.3968e+00
PEDS1	ENSG00000240849	chr20	6.2091e-01	2.3968e+00
PEDS1-UBE2V1	387522	NA	6.7167e-01	3.1894e+00
PEDS1-UBE2V1	ENSG00000124208	chr20	6.7167e-01	3.1894e+00
PEF1	553115	NA	7.9605e-01	1.5644e-01
PEF1	ENSG00000162517	chr1	7.9605e-01	1.5644e-01
PEG10	23089	NA	6.3511e-01	3.8463e-01
PEG10	ENSG00000242265	chr7	6.0591e-01	1.6209e-02
PEG3	5178	NA	9.1895e-01	2.4234e-01
PEG3	ENSG00000198300	chr19	9.1895e-01	2.4234e-01
PELI1	57162	NA	5.5968e-01	2.2796e+00
PELI1	ENSG00000197329	chr2	5.5968e-01	2.2796e+00
PELI2	57161	NA	7.6994e-01	1.6362e+00
PELI2	ENSG00000139946	chr14	7.6994e-01	1.6362e+00
PELI3	246330	NA	7.8543e-01	2.8389e+00
PELI3	ENSG00000174516	chr11	7.8543e-01	2.8389e+00
PELO	53918	NA	1.0771e+00	-1.2721e-01
PELO	ENSG00000152684	chr5	1.0771e+00	-1.2721e-01
PELP1	27043	NA	4.5006e-01	9.7353e-01
PELP1	ENSG00000141456	chr17	4.5006e-01	9.7353e-01
PEMT	10400	NA	1.1873e+00	7.4447e-02
PEMT	ENSG00000133027	chr17	1.1873e+00	7.4447e-02
PENK	5179	NA	1.4514e+00	-3.4971e-01
PENK	ENSG00000181195	chr8	1.4514e+00	-3.4971e-01
PEPD	5184	NA	1.0985e+00	1.4157e-02
PEPD	ENSG00000124299	chr19	1.0985e+00	1.4157e-02
PER1	5187	NA	8.2567e-01	-5.3627e-01
PER1	ENSG00000179094	chr17	8.2567e-01	-5.3627e-01
PER2	8864	NA	6.6924e-01	1.2024e+00
PER2	ENSG00000132326	chr2	6.6924e-01	1.2024e+00
PER3	8863	NA	9.8754e-01	-3.7293e-01
PER3	ENSG00000049246	chr1	9.8754e-01	-3.7293e-01
PERM1	84808	NA	1.3097e+00	-1.0527e+00
PERM1	ENSG00000187642	chr1	1.3097e+00	-1.0527e+00
PERP	64065	NA	8.9649e-01	6.8587e-01
PERP	ENSG00000112378	chr6	8.9649e-01	6.8587e-01
PES1	23481	NA	5.4232e-01	1.7457e+00
PES1	ENSG00000100029	chr22	5.4232e-01	1.7457e+00
PET100	100131801	NA	1.5192e+00	5.5239e-02
PET100	ENSG00000229833	chr19	1.5192e+00	5.5239e-02
PET117	100303755	NA	1.8460e+00	9.3726e-02
PET117	ENSG00000232838	chr20	1.8460e+00	9.3726e-02
PEX1	5189	NA	7.5292e-01	1.7443e+00
PEX1	ENSG00000127980	chr7	7.5292e-01	1.7443e+00
PEX10	5192	NA	1.1300e+00	-5.0524e-01
PEX10	ENSG00000157911	chr1	1.1300e+00	-5.0524e-01
PEX11A	8800	NA	1.4314e+00	3.1332e-01
PEX11A	ENSG00000166821	chr15	1.4314e+00	3.1332e-01
PEX11B	8799	NA	9.4613e-01	3.5200e-01
PEX11B	ENSG00000131779	chr1	9.4613e-01	3.5200e-01
PEX11G	92960	NA	1.2903e+00	-3.6749e-01
PEX11G	ENSG00000104883	chr19	1.2903e+00	-3.6749e-01
PEX12	5193	NA	1.2868e+00	1.2499e+00
PEX12	ENSG00000108733	chr17	1.2868e+00	1.2499e+00
PEX13	5194	NA	1.1142e+00	-1.1349e+00
PEX13	ENSG00000162928	chr2	1.1142e+00	-1.1349e+00
PEX14	5195	NA	4.6683e-01	1.8564e+00
PEX14	ENSG00000142655	chr1	4.6683e-01	1.8564e+00
PEX16	9409	NA	9.6416e-01	7.5923e-01
PEX16	ENSG00000121680	chr11	9.6416e-01	7.5923e-01
PEX19	5824	NA	1.0904e+00	-6.2019e-01
PEX19	ENSG00000162735	chr1	1.0904e+00	-6.2019e-01
PEX2	5828	NA	1.1045e+00	8.1498e-02
PEX2	ENSG00000164751	chr8	1.1045e+00	8.1498e-02
PEX26	55670	NA	8.5003e-01	1.5120e-01
PEX26	ENSG00000215193	chr22	8.5003e-01	1.5120e-01
PEX3	8504	NA	7.2974e-01	1.6767e+00
PEX3	ENSG00000034693	chr6	7.2974e-01	1.6767e+00
PEX5	5830	NA	7.9023e-01	1.4364e+00
PEX5	ENSG00000139197	chr12	7.9023e-01	1.4364e+00
PEX5L	51555	NA	4.8415e-01	3.4410e+00
PEX5L	ENSG00000114757	chr3	4.8415e-01	3.4410e+00
PEX6	5190	NA	8.0459e-01	1.9381e+00
PEX6	ENSG00000124587	chr6	8.0459e-01	1.9381e+00
PEX7	5191	NA	9.5338e-01	1.3478e-01
PEX7	ENSG00000112357	chr6	9.5338e-01	1.3478e-01
PF4	5196	NA	2.0934e+00	4.5651e-01
PF4	ENSG00000163737	chr4	2.0934e+00	4.5651e-01
PF4V1	5197	NA	1.3354e+00	5.9936e-02
PF4V1	ENSG00000109272	chr4	1.3354e+00	5.9936e-02
PFAS	5198	NA	8.1685e-01	1.2559e+00
PFAS	ENSG00000178921	chr17	8.1685e-01	1.2559e+00
PFDN1	5201	NA	6.8508e-01	1.1710e+00
PFDN1	ENSG00000113068	chr5	6.8508e-01	1.1710e+00
PFDN2	5202	NA	7.1675e-01	5.4671e-01
PFDN2	ENSG00000143256	chr1	7.1675e-01	5.4671e-01
PFDN4	5203	NA	6.7400e-01	1.3341e+00
PFDN4	ENSG00000101132	chr20	6.7400e-01	1.3341e+00
PFDN5	5204	NA	9.6078e-01	-5.6032e-02
PFDN5	ENSG00000123349	chr12	9.6078e-01	-5.6032e-02
PFDN6	10471	NA	5.4589e-01	1.6883e+00
PFDN6	ENSG00000204220	chr6	5.4589e-01	1.6883e+00
PFKFB1	5207	NA	9.7638e-01	-3.6657e-01
PFKFB1	ENSG00000158571	chrX	9.7638e-01	-3.6657e-01
PFKFB2	5208	NA	9.8001e-01	3.2152e+00
PFKFB2	ENSG00000123836	chr1	9.8001e-01	3.2152e+00
PFKFB3	5209	NA	6.4863e-01	2.0167e+00
PFKFB3	ENSG00000170525	chr10	6.4863e-01	2.0167e+00
PFKFB4	5210	NA	8.6455e-01	2.5924e+00
PFKFB4	ENSG00000114268	chr3	8.6455e-01	2.5924e+00
PFKL	5211	NA	9.7491e-01	1.1311e+00
PFKL	ENSG00000141959	chr21	9.7491e-01	1.1311e+00
PFKM	5213	NA	7.5609e-01	4.4033e+00
PFKM	ENSG00000152556	chr12	7.5609e-01	4.4033e+00
PFKP	5214	NA	1.2637e+00	-5.3496e-01
PFKP	ENSG00000067057	chr10	1.2637e+00	-5.3496e-01
PFN1	5216	NA	5.3614e-01	2.8411e+00
PFN1	ENSG00000108518	chr17	5.3614e-01	2.8411e+00
PFN2	5217	NA	1.3870e+00	1.8712e+00
PFN2	ENSG00000070087	chr3	9.4638e-01	2.2529e+00
PFN3	345456	NA	2.1296e+00	-1.2299e+00
PFN3	ENSG00000196570	chr5	2.1296e+00	-1.2299e+00
PFN4	375189	NA	1.0419e+00	6.0670e-01
PFN4	ENSG00000176732	chr2	1.0419e+00	6.0670e-01
PGA3	643834	NA	3.0458e-01	4.8673e+00
PGA3	ENSG00000229859	chr11	3.0458e-01	4.8673e+00
PGA4	643847	NA	NA	1.2565e+00
PGA4	ENSG00000229183	chr11	NA	1.2565e+00
PGA5	5222	NA	1.7524e+00	6.0886e-01
PGA5	ENSG00000256713	chr11	1.7524e+00	6.0886e-01
PGAM1	5223	NA	1.2867e+00	2.4250e+00
PGAM1	ENSG00000171314	chr10	1.2867e+00	2.4250e+00
PGAM2	5224	NA	1.4485e+00	1.6269e-01
PGAM2	ENSG00000164708	chr7	1.4485e+00	1.6269e-01
PGAM4	441531	NA	1.2142e+00	1.9845e+00
PGAM4	ENSG00000226784	chrX	1.2142e+00	1.9845e+00
PGAM5	192111	NA	1.1422e+00	5.1778e-01
PGAM5	ENSG00000247077	chr12	1.1422e+00	5.1778e-01
PGAP1	80055	NA	7.2428e-01	1.1638e+00
PGAP1	ENSG00000197121	chr2	7.2428e-01	1.1638e+00
PGAP2	27315	NA	9.1160e-01	1.6357e+00
PGAP2	ENSG00000148985	chr11	9.1160e-01	1.6357e+00
PGAP3	93210	NA	1.0389e+00	2.0803e-01
PGAP3	ENSG00000161395	chr17	1.0389e+00	2.0803e-01
PGAP4	84302	NA	6.8850e-01	1.6657e+00
PGAP4	ENSG00000165152	chr9	6.8850e-01	1.6657e+00
PGAP6	58986	NA	1.1195e+00	-1.5588e+00
PGAP6	ENSG00000129925	chr16	1.1195e+00	-1.5588e+00
PGBD1	84547	NA	1.0049e+00	1.7812e+00
PGBD1	ENSG00000137338	chr6	1.0049e+00	1.7812e+00
PGBD2	267002	NA	1.4561e+00	-9.8801e-01
PGBD2	ENSG00000185220	chr1	1.4561e+00	-9.8801e-01
PGBD3	267004	NA	NA	7.9565e-01
PGBD4	161779	NA	1.7642e+01	1.5209e+00
PGBD4	ENSG00000182405	chr15	1.7642e+01	1.5209e+00
PGBD5	79605	NA	4.5731e-01	1.2909e+00
PGBD5	ENSG00000177614	chr1	4.5731e-01	1.2909e+00
PGC	5225	NA	9.1080e-01	3.1164e-01
PGC	ENSG00000096088	chr6	9.1080e-01	3.1164e-01
PGD	5226	NA	5.0027e-01	2.3440e+00
PGD	ENSG00000142657	chr1	5.0027e-01	2.3440e+00
PGF	5228	NA	7.2002e-01	1.3659e-01
PGF	ENSG00000119630	chr14	7.2002e-01	1.3659e-01
PGGHG	80162	NA	1.1022e+00	-7.1507e-01
PGGHG	ENSG00000142102	chr11	1.1022e+00	-7.1507e-01
PGGT1B	5229	NA	8.8328e-01	1.5952e+00
PGGT1B	ENSG00000164219	chr5	8.8328e-01	1.5952e+00
PGK1	5230	NA	2.8772e-01	1.0739e+00
PGK1	ENSG00000102144	chrX	2.8772e-01	1.0739e+00
PGK2	5232	NA	2.0137e+00	-1.5378e+00
PGK2	ENSG00000170950	chr6	2.0137e+00	-1.5378e+00
PGLS	25796	NA	1.3058e+00	-1.2690e+00
PGLS	ENSG00000130313	chr19	1.3058e+00	-1.2690e+00
PGLYRP1	8993	NA	1.6412e+00	1.9667e-01
PGLYRP1	ENSG00000008438	chr19	1.6412e+00	1.9667e-01
PGLYRP2	114770	NA	1.0789e+00	6.6504e-01
PGLYRP2	ENSG00000161031	chr19	1.0789e+00	6.6504e-01
PGLYRP3	114771	NA	1.4144e+00	4.3032e-01
PGLYRP3	ENSG00000159527	chr1	1.4144e+00	4.3032e-01
PGLYRP4	57115	NA	1.2370e+00	-1.2569e-01
PGLYRP4	ENSG00000163218	chr1	1.2370e+00	-1.2569e-01
PGM1	5236	NA	1.1789e+00	8.3324e-02
PGM1	ENSG00000079739	chr1	1.1789e+00	8.3324e-02
PGM2	55276	NA	9.5315e-01	5.6159e-01
PGM2	ENSG00000169299	chr4	9.5315e-01	5.6159e-01
PGM2L1	283209	NA	6.3224e-01	2.6930e+00
PGM2L1	ENSG00000165434	chr11	6.3224e-01	2.6930e+00
PGM3	5238	NA	7.8703e-01	1.7881e+00
PGM3	ENSG00000013375	chr6	7.8703e-01	1.7881e+00
PGM5	5239	NA	5.5046e-01	2.7178e+00
PGM5	ENSG00000154330	chr9	5.5046e-01	2.7178e+00
PGP	283871	NA	8.1403e-01	1.4973e+00
PGP	ENSG00000184207	chr16	8.1403e-01	1.4973e+00
PGPEP1	54858	NA	9.5788e-01	8.0957e-01
PGPEP1	ENSG00000130517	chr19	9.5788e-01	8.0957e-01
PGPEP1L	145814	NA	2.1936e+00	-5.0740e-01
PGPEP1L	ENSG00000183571	chr15	2.1936e+00	-5.0740e-01
PGR	5241	NA	4.5876e-01	6.4968e-01
PGR	ENSG00000082175	chr11	4.5876e-01	6.4968e-01
PGRMC1	10857	NA	NA	7.8807e-01
PGRMC1	ENSG00000101856	chrX	NA	7.8807e-01
PGRMC2	10424	NA	8.1337e-01	2.0600e-01
PGRMC2	ENSG00000164040	chr4	8.1337e-01	2.0600e-01
PGS1	9489	NA	9.7027e-01	7.4332e-01
PGS1	ENSG00000087157	chr17	9.7027e-01	7.4332e-01
PHACTR1	221692	NA	3.5113e-01	3.5355e+00
PHACTR1	ENSG00000112137	chr6	3.5113e-01	3.5355e+00
PHACTR2	ENSG00000112419	chr6	5.3537e-01	1.2989e+00
PHACTR3	116154	NA	3.6395e-01	1.1588e+00
PHACTR3	ENSG00000087495	chr20	3.6395e-01	1.1588e+00
PHACTR4	65979	NA	8.8562e-01	1.9005e+00
PHACTR4	ENSG00000204138	chr1	8.8562e-01	1.9005e+00
PHAF1	80262	NA	5.1672e-01	1.6914e+00
PHAF1	ENSG00000125149	chr16	5.1672e-01	1.6914e+00
PHAX	51808	NA	1.0062e+00	3.9094e-01
PHAX	ENSG00000164902	chr5	1.0062e+00	3.9094e-01
PHB	5245	NA	5.9009e-01	3.5375e+00
PHB	ENSG00000167085	chr17	5.9009e-01	3.5375e+00
PHB2	11331	NA	6.7686e-01	1.6967e+00
PHB2	ENSG00000215021	chr12	6.7686e-01	1.6967e+00
PHC1	1911	NA	1.8642e-01	6.5133e+00
PHC1	ENSG00000111752	chr12	1.8642e-01	6.5133e+00
PHC2	1912	NA	4.5228e-01	3.5386e+00
PHC2	ENSG00000134686	chr1	4.5228e-01	3.5386e+00
PHC3	80012	NA	1.9237e-01	2.6825e+00
PHC3	ENSG00000173889	chr3	1.9237e-01	2.6825e+00
PHETA1	144717	NA	NA	5.6212e-01
PHETA1	ENSG00000198324	chr12	NA	5.6212e-01
PHETA2	150368	NA	NA	4.6813e-01
PHETA2	ENSG00000177096	chr22	NA	4.6813e-01
PHEX	5251	NA	3.5750e-01	1.6981e+00
PHEX	ENSG00000102174	chrX	3.5750e-01	1.6981e+00
PHF1	5252	NA	3.4991e-01	3.4318e+00
PHF1	ENSG00000112511	chr6	3.4991e-01	3.4318e+00
PHF10	55274	NA	9.4030e-01	2.4768e+00
PHF10	ENSG00000130024	chr6	9.4030e-01	2.4768e+00
PHF11	51131	NA	1.2296e+00	5.0416e-01
PHF11	ENSG00000136147	chr13	1.2296e+00	5.0416e-01
PHF12	57649	NA	1.1869e-01	4.0940e+00
PHF12	ENSG00000109118	chr17	1.1869e-01	4.0940e+00
PHF13	148479	NA	1.8405e-01	2.0637e+00
PHF13	ENSG00000116273	chr1	1.8405e-01	2.0637e+00
PHF14	9678	NA	5.8399e-01	1.8360e+00
PHF14	ENSG00000106443	chr7	5.8399e-01	1.8360e+00
PHF19	26147	NA	3.7878e-01	4.6780e+00
PHF19	ENSG00000119403	chr9	3.7878e-01	4.6780e+00
PHF2	5253	NA	3.0910e-01	4.6257e+00
PHF2	ENSG00000197724	chr9	3.0910e-01	4.6257e+00
PHF20	51230	NA	2.8706e-01	3.3780e+00
PHF20	ENSG00000025293	chr20	2.8706e-01	3.3780e+00
PHF20L1	51105	NA	4.5094e-01	2.5085e+00
PHF20L1	ENSG00000129292	chr8	4.5094e-01	2.5085e+00
PHF21A	51317	NA	2.2065e-01	3.8137e+00
PHF21A	ENSG00000135365	chr11	2.2065e-01	3.8137e+00
PHF21B	112885	NA	5.0539e-01	1.1008e-01
PHF21B	ENSG00000056487	chr22	5.0539e-01	1.1008e-01
PHF23	79142	NA	2.1520e-01	7.2645e-01
PHF23	ENSG00000040633	chr17	2.1520e-01	7.2645e-01
PHF24	ENSG00000122733	chr9	8.1898e-01	1.2519e+00
PHF3	23469	NA	2.9823e-01	4.5349e-01
PHF3	ENSG00000118482	chr6	2.9823e-01	4.5349e-01
PHF5A	84844	NA	NA	4.1940e+00
PHF5A	ENSG00000100410	chr22	NA	4.1940e+00
PHF6	84295	NA	3.8619e-01	3.5458e+00
PHF6	ENSG00000156531	chrX	3.8619e-01	3.5458e+00
PHF7	51533	NA	7.1065e-01	1.9108e+00
PHF7	ENSG00000010318	chr3	7.1065e-01	1.9108e+00
PHF8	23133	NA	2.1102e-01	5.0533e+00
PHF8	ENSG00000172943	chrX	2.1102e-01	5.0533e+00
PHGDH	26227	NA	1.2031e+00	8.9077e-01
PHGDH	ENSG00000092621	chr1	1.2031e+00	8.9077e-01
PHGR1	644844	NA	1.5829e+00	1.4755e+00
PHGR1	ENSG00000233041	chr15	1.5829e+00	1.4755e+00
PHIP	55023	NA	2.8604e-01	7.4788e+00
PHIP	ENSG00000146247	chr6	2.8604e-01	7.4788e+00
PHKA1	5255	NA	6.7513e-01	1.9654e+00
PHKA1	ENSG00000067177	chrX	6.7513e-01	1.9654e+00
PHKA2	5256	NA	4.1017e-01	2.2015e+00
PHKA2	ENSG00000044446	chrX	4.1017e-01	2.2015e+00
PHKB	5257	NA	9.3240e-01	2.8537e-01
PHKB	ENSG00000102893	chr16	9.3240e-01	2.8537e-01
PHKG1	5260	NA	1.2092e+00	6.0782e-01
PHKG1	ENSG00000164776	chr7	1.2092e+00	6.0782e-01
PHKG2	5261	NA	8.6261e-01	9.0144e-01
PHKG2	ENSG00000156873	chr16	8.6261e-01	9.0144e-01
PHLDA1	22822	NA	1.1362e+00	-8.4446e-01
PHLDA1	ENSG00000139289	chr12	1.1362e+00	-8.4446e-01
PHLDA2	7262	NA	1.7823e+00	3.4862e-01
PHLDA2	ENSG00000181649	chr11	1.7823e+00	3.4862e-01
PHLDA3	23612	NA	2.5546e+00	-4.5382e-02
PHLDA3	ENSG00000174307	chr1	2.5546e+00	-4.5382e-02
PHLDB1	23187	NA	5.7370e-01	2.1449e+00
PHLDB1	ENSG00000019144	chr11	5.7370e-01	2.1449e+00
PHLDB2	90102	NA	6.9989e-01	8.0428e-01
PHLDB2	ENSG00000144824	chr3	6.9989e-01	8.0428e-01
PHLDB3	ENSG00000176531	chr19	1.2009e+00	-1.7604e+00
PHLPP1	23239	NA	4.6365e-01	1.4225e+00
PHLPP1	ENSG00000081913	chr18	4.6365e-01	1.4225e+00
PHLPP2	23035	NA	6.4849e-01	-9.0176e-01
PHLPP2	ENSG00000040199	chr16	6.4849e-01	-9.0176e-01
PHOSPHO1	162466	NA	6.7029e-01	1.3385e+00
PHOSPHO1	ENSG00000173868	chr17	6.7029e-01	1.3385e+00
PHOSPHO2	493911	NA	1.3344e+00	9.2576e-01
PHOSPHO2	ENSG00000144362	chr2	1.3344e+00	9.2576e-01
PHOX2A	401	NA	1.0367e+00	1.2173e+00
PHOX2A	ENSG00000165462	chr11	1.0367e+00	1.2173e+00
PHOX2B	8929	NA	3.0624e-01	2.4991e+00
PHOX2B	ENSG00000109132	chr4	3.0624e-01	2.4991e+00
PHPT1	29085	NA	1.5619e+00	-1.8600e+00
PHPT1	ENSG00000054148	chr9	1.5619e+00	-1.8600e+00
PHRF1	57661	NA	5.1681e-01	-1.9499e+00
PHRF1	ENSG00000070047	chr11	5.1681e-01	-1.9499e+00
PHTF1	10745	NA	1.0257e+00	1.3513e+00
PHTF1	ENSG00000116793	chr1	1.0257e+00	1.3513e+00
PHTF2	57157	NA	6.9234e-01	2.4811e+00
PHTF2	ENSG00000006576	chr7	7.3500e-01	2.2874e+00
PHYH	5264	NA	1.1174e+00	1.7991e-01
PHYH	ENSG00000107537	chr10	1.1174e+00	1.7991e-01
PHYHD1	254295	NA	1.2461e+00	6.3786e-01
PHYHD1	ENSG00000175287	chr9	1.2461e+00	6.3786e-01
PHYHIP	9796	NA	5.0335e-01	4.4543e+00
PHYHIP	ENSG00000168490	chr8	5.0335e-01	4.4543e+00
PHYHIPL	84457	NA	4.7011e-01	1.9019e+00
PHYHIPL	ENSG00000165443	chr10	4.7011e-01	1.9019e+00
PHYKPL	85007	NA	1.0592e+00	-1.2046e+00
PHYKPL	ENSG00000175309	chr5	1.0592e+00	-1.2046e+00
PI15	51050	NA	8.6141e-01	1.0851e+00
PI15	ENSG00000137558	chr8	8.6141e-01	1.0851e+00
PI16	221476	NA	1.2212e+00	3.8120e-01
PI16	ENSG00000164530	chr6	1.2212e+00	3.8120e-01
PI3	5266	NA	1.5355e+00	-4.8230e-02
PI3	ENSG00000124102	chr20	1.5355e+00	-4.8230e-02
PI4K2A	55361	NA	5.2808e-01	2.9425e+00
PI4K2A	ENSG00000155252	chr10	5.2808e-01	2.9425e+00
PI4K2B	55300	NA	1.0383e+00	8.9409e-01
PI4K2B	ENSG00000038210	chr4	1.0383e+00	8.9409e-01
PI4KA	5297	NA	5.2243e-01	6.4848e+00
PI4KA	ENSG00000241973	chr22	5.2243e-01	6.4848e+00
PI4KB	5298	NA	4.0055e-01	5.1078e+00
PI4KB	ENSG00000143393	chr1	4.0055e-01	5.1078e+00
PIANP	196500	NA	7.5829e-01	1.1006e+00
PIANP	ENSG00000139200	chr12	7.5829e-01	1.1006e+00
PIAS1	8554	NA	1.6608e-01	3.6121e+00
PIAS1	ENSG00000033800	chr15	1.6608e-01	3.6121e+00
PIAS2	9063	NA	3.9999e-01	2.0609e+00
PIAS2	ENSG00000078043	chr18	3.9999e-01	2.0609e+00
PIAS3	10401	NA	6.6971e-01	1.4940e+00
PIAS3	ENSG00000131788	chr1	6.6971e-01	1.4940e+00
PIAS4	51588	NA	2.2684e-01	2.5543e+00
PIAS4	ENSG00000105229	chr19	2.2684e-01	2.5543e+00
PIBF1	10464	NA	9.5352e-01	-9.1544e-01
PIBF1	ENSG00000083535	chr13	9.5352e-01	-9.1544e-01
PICALM	8301	NA	6.4668e-01	1.5730e+00
PICALM	ENSG00000073921	chr11	6.4668e-01	1.5730e+00
PICK1	9463	NA	6.6599e-01	2.4225e+00
PICK1	ENSG00000100151	chr22	6.6599e-01	2.4225e+00
PID1	55022	NA	8.8665e-01	9.4265e-01
PID1	ENSG00000153823	chr2	8.8665e-01	9.4265e-01
PIDD1	55367	NA	1.0944e+00	-1.2257e+00
PIDD1	ENSG00000177595	chr11	1.0944e+00	-1.2257e+00
PIEZO1	9780	NA	1.0966e+00	-1.1337e+01
PIEZO1	ENSG00000103335	chr16	1.0966e+00	-1.1337e+01
PIEZO2	63895	NA	5.7872e-01	2.6604e+00
PIEZO2	ENSG00000154864	chr18	5.7872e-01	2.6604e+00
PIF1	80119	NA	1.3184e+00	-2.8759e-01
PIF1	ENSG00000140451	chr15	1.3184e+00	-2.8759e-01
PIFO	128344	NA	1.2663e+00	3.1656e-01
PIFO	ENSG00000173947	chr1	1.2663e+00	3.1656e-01
PIGA	5277	NA	4.5332e-01	3.1561e+00
PIGA	ENSG00000165195	chrX	4.5332e-01	3.1561e+00
PIGB	9488	NA	1.0557e+00	3.6255e-01
PIGB	ENSG00000069943	chr15	1.0557e+00	3.6255e-01
PIGC	5279	NA	1.0456e+00	1.1436e+00
PIGC	ENSG00000135845	chr1	1.0456e+00	1.1436e+00
PIGF	5281	NA	1.2511e+00	-7.5832e-01
PIGF	ENSG00000151665	chr2	1.2511e+00	-7.5832e-01
PIGG	54872	NA	1.0268e+00	-2.8413e-01
PIGG	ENSG00000174227	chr4	1.0268e+00	-2.8413e-01
PIGH	5283	NA	9.0515e-01	1.2447e+00
PIGH	ENSG00000100564	chr14	9.0515e-01	1.2447e+00
PIGK	10026	NA	1.0731e+00	7.8484e-01
PIGK	ENSG00000142892	chr1	1.0731e+00	7.8484e-01
PIGL	9487	NA	1.0102e+00	3.3323e-01
PIGL	ENSG00000108474	chr17	1.0102e+00	3.3323e-01
PIGM	93183	NA	9.0324e-01	1.9083e-01
PIGM	ENSG00000143315	chr1	9.0324e-01	1.9083e-01
PIGN	23556	NA	1.0880e+00	2.5683e-01
PIGN	ENSG00000197563	chr18	1.0880e+00	2.5683e-01
PIGO	84720	NA	9.3195e-01	1.8172e+00
PIGO	ENSG00000165282	chr9	9.3195e-01	1.8172e+00
PIGP	51227	NA	1.1510e+00	-1.8870e-01
PIGP	ENSG00000185808	chr21	1.1510e+00	-1.8870e-01
PIGQ	9091	NA	1.1237e+00	-8.3627e-02
PIGQ	ENSG00000007541	chr16	1.1237e+00	-8.3627e-02
PIGR	5284	NA	4.5186e-01	1.2163e+00
PIGR	ENSG00000162896	chr1	4.5186e-01	1.2163e+00
PIGS	94005	NA	8.3636e-01	1.3080e+00
PIGS	ENSG00000087111	chr17	8.3636e-01	1.3080e+00
PIGT	51604	NA	1.0662e+00	2.4105e-01
PIGT	ENSG00000124155	chr20	1.0662e+00	2.4105e-01
PIGU	128869	NA	6.7653e-01	7.8777e-01
PIGU	ENSG00000101464	chr20	6.7653e-01	7.8777e-01
PIGV	55650	NA	9.5080e-01	1.1164e+00
PIGV	ENSG00000060642	chr1	9.5080e-01	1.1164e+00
PIGW	284098	NA	9.5812e-01	2.1684e-01
PIGW	ENSG00000277161	chr17	9.5812e-01	2.1684e-01
PIGX	54965	NA	1.1748e+00	3.0510e-01
PIGX	ENSG00000163964	chr3	1.1748e+00	3.0510e-01
PIGY	84992	NA	1.8946e+00	1.0766e-01
PIGY	ENSG00000255072	chr4	1.8946e+00	1.0766e-01
PIGZ	80235	NA	1.4791e+00	-4.8267e-01
PIGZ	ENSG00000119227	chr3	1.4791e+00	-4.8267e-01
PIH1D1	55011	NA	9.9596e-01	5.9604e-01
PIH1D1	ENSG00000104872	chr19	9.9596e-01	5.9604e-01
PIH1D2	120379	NA	1.1178e+00	1.0516e+00
PIH1D2	ENSG00000150773	chr11	1.1178e+00	1.0516e+00
PIK3AP1	118788	NA	3.4334e-01	2.7529e+00
PIK3AP1	ENSG00000155629	chr10	3.4334e-01	2.7529e+00
PIK3C2A	ENSG00000011405	chr11	5.6152e-01	2.2507e+00
PIK3C2B	5287	NA	5.4059e-01	3.5017e+00
PIK3C2B	ENSG00000133056	chr1	5.4059e-01	3.5017e+00
PIK3C2G	5288	NA	1.0543e+00	-1.3958e+00
PIK3C2G	ENSG00000139144	chr12	1.0543e+00	-1.3958e+00
PIK3C3	5289	NA	8.9322e-01	3.0630e+00
PIK3C3	ENSG00000078142	chr18	8.9322e-01	3.0630e+00
